DR_NO,Date Rptd,DATE OCC,DATE OCC,month,day,year,weeknum,dayofweek,month_text,week_text,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200809562,5/17/2020 0:00,5/17/2020 0:00,43968,5,17,2020,21,1,May,Sunday,1430,8,West LA,826,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0325 1822 1420 0104,0,X,X,403,DRUG STORE,,,IC,Invest Cont,442,,,,11900    SAN VICENTE                  BL,,34.0571,-118.474
200815069,10/9/2020 0:00,10/9/2020 0:00,44113,10,9,2020,41,6,October,Friday,1400,8,West LA,819,1,320,"BURGLARY, ATTEMPTED",1202 1607 1822,68,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320,,,,200    WOODRUFF                     AV,,34.0768,-118.4352
200808438,4/18/2020 0:00,4/18/2020 0:00,43939,4,18,2020,16,7,April,Saturday,1930,8,West LA,842,1,330,BURGLARY FROM VEHICLE,1402 0202 0216 1309 1609 0913 1814,25,F,W,707,GARAGE/CARPORT,,,AA,Adult Arrest,330,998,,,11700    TEXAS                        AV,,34.0472,-118.459
200812870,8/11/2020 0:00,8/2/2020 0:00,44045,8,2,2020,32,1,August,Sunday,2300,8,West LA,835,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,22,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,745,,,,1800    OVERLAND                     AV,,34.0462,-118.4361
200815799,10/28/2020 0:00,10/28/2020 0:00,44132,10,28,2020,44,4,October,Wednesday,730,8,West LA,828,2,354,THEFT OF IDENTITY,1822 0100 0930,80,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,10700    LINDBROOK                    DR,,34.0614,-118.4381
200816405,11/13/2020 0:00,11/13/2020 0:00,44148,11,13,2020,46,6,November,Friday,200,8,West LA,833,2,624,BATTERY - SIMPLE ASSAULT,0400 1818 0561 0416 0446 0602 2021,50,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1300    MIDVALE                      AV,,34.0557,-118.444
200813946,9/10/2020 0:00,9/8/2020 0:00,44082,9,8,2020,37,3,September,Tuesday,1430,8,West LA,886,1,310,BURGLARY,1606 1403 1202 0321 0344 1822,66,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,2700    MCCONNELL                    DR,,34.0445,-118.4035
200817086,12/2/2020 0:00,11/16/2020 0:00,44151,11,16,2020,47,2,November,Monday,1100,8,West LA,807,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1420 1803 1202 0344 0352 0913,62,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,341,,,,1600 N  BEVERLY GLEN                 BL,,34.0998,-118.4436
200816363,11/13/2020 0:00,11/6/2020 0:00,44141,11,6,2020,45,6,November,Friday,836,8,West LA,881,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",337,73,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,11600    MISSOURI                     AV,,34.0391,-118.4506
200815583,10/22/2020 0:00,10/22/2020 0:00,44126,10,22,2020,43,5,October,Thursday,1700,8,West LA,857,1,310,BURGLARY,0344 1822 1606,32,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,,,,1100    GLENVILLE                    DR,,34.0557,-118.3928
200816932,11/27/2020 0:00,11/27/2020 0:00,44162,11,27,2020,48,6,November,Friday,2240,8,West LA,839,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913,0,X,X,727,SHOPPING MALL (COMMON AREA),,,AA,Adult Arrest,740,,,,10200    SANTA MONICA                 BL,,34.06,-118.42
200807585,3/22/2020 0:00,3/18/2020 0:00,43908,3,18,2020,12,4,March,Wednesday,1030,8,West LA,833,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0377 1822,50,F,W,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,440,,,,10900    WILSHIRE                     BL,,34.0588,-118.4439
200809661,5/19/2020 0:00,5/18/2020 0:00,43969,5,18,2020,21,2,May,Monday,1730,8,West LA,852,1,330,BURGLARY FROM VEHICLE,0344 1822 0321,33,F,W,104,DRIVEWAY,,,IC,Invest Cont,330,,,,1600    BARRY                        AV,,34.0432,-118.4541
200817762,12/20/2020 0:00,12/19/2020 0:00,44184,12,19,2020,51,7,December,Saturday,1430,8,West LA,882,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822 0385 1309 1602 1420,49,F,O,101,STREET,,,IC,Invest Cont,331,,,,11400    MISSISSIPPI                  AV,,34.0379,-118.4453
200808302,4/14/2020 0:00,4/14/2020 0:00,43935,4,14,2020,16,3,April,Tuesday,1930,8,West LA,838,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344 1822,22,M,W,707,GARAGE/CARPORT,,,AO,Adult Other,341,,,,10900    ROEBLING                     AV,,34.0661,-118.4485
200808801,4/28/2020 0:00,4/23/2020 0:00,43944,4,23,2020,17,5,April,Thursday,1030,8,West LA,848,2,662,"BUNCO, GRAND THEFT",0701 0800 1202 1822,81,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662,,,,2100    CENTURY PARK,,34.0585,-118.4119
200816680,11/16/2020 0:00,11/15/2020 0:00,44150,11,15,2020,47,1,November,Sunday,1900,8,West LA,827,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1202 1307 0329 1822,76,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,740,,,,500 S  BARRINGTON                   AV,,34.0604,-118.4684
200812886,8/12/2020 0:00,8/11/2020 0:00,44054,8,11,2020,33,3,August,Tuesday,2000,8,West LA,802,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0358 0385 0344 0346,59,M,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,331,,,,1000    KAGAWA                       ST,,34.0478,-118.5181
200808837,4/29/2020 0:00,4/28/2020 0:00,43949,4,28,2020,18,3,April,Tuesday,1930,8,West LA,835,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606 0202 1420 1822,47,F,O,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,331,,,,2000    CAMDEN                       AV,,34.044,-118.4386
200816285,11/11/2020 0:00,11/10/2020 0:00,44145,11,10,2020,46,3,November,Tuesday,1700,8,West LA,897,1,310,BURGLARY,1822 0344 0397 1602 0352 1402 1267,31,M,W,707,GARAGE/CARPORT,,,IC,Invest Cont,310,998,,,3300 S  BEVERLY                      DR,,34.031,-118.3989
210808302,4/17/2021 0:00,7/26/2020 0:00,44038,7,26,2020,31,1,July,Sunday,1500,8,West LA,808,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 1819 2000,51,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,2500    SUMMITRIDGE                  DR,,34.1196,-118.4221
200815198,10/9/2020 0:00,10/9/2020 0:00,44113,10,9,2020,41,6,October,Friday,1330,8,West LA,827,2,624,BATTERY - SIMPLE ASSAULT,1822 0421,29,F,W,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,11700    SAN VICENTE                  BL,,34.0536,-118.4662
200816887,11/25/2020 0:00,11/25/2020 0:00,44160,11,25,2020,48,4,November,Wednesday,1430,8,West LA,898,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,421,52,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,930,,,,3000 S  ROBERTSON                    BL,,34.0328,-118.39
200814146,9/16/2020 0:00,9/12/2020 0:00,44086,9,12,2020,37,7,September,Saturday,2015,8,West LA,834,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1202 0344 0346,71,F,W,101,STREET,,,IC,Invest Cont,331,,,,OHIO                         AV,MANNING                      AV,34.0563,-118.4348
200815066,10/8/2020 0:00,10/8/2020 0:00,44112,10,8,2020,41,5,October,Thursday,2230,8,West LA,833,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1822 1420,21,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,331,,,,10900    WELLWORTH                    AV,,34.0569,-118.4431
200812232,7/22/2020 0:00,7/22/2020 0:00,44034,7,22,2020,30,4,July,Wednesday,1100,8,West LA,815,2,354,THEFT OF IDENTITY,930,45,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,300    DALKEITH                     AV,,34.0691,-118.4619
200808587,4/22/2020 0:00,4/22/2020 0:00,43943,4,22,2020,17,4,April,Wednesday,224,8,West LA,835,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0346,34,M,W,101,STREET,,,IC,Invest Cont,331,,,,2000    MIDVALE                      AV,,34.0462,-118.4351
200813949,9/11/2020 0:00,9/4/2020 0:00,44078,9,4,2020,36,6,September,Friday,1458,8,West LA,835,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0394 0344 0346,37,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,,,,1900    SELBY                        AV,,34.0487,-118.4319
200816289,11/11/2020 0:00,11/11/2020 0:00,44146,11,11,2020,46,4,November,Wednesday,1000,8,West LA,833,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0561 0913,50,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,1300    MIDVALE                      AV,,34.0557,-118.444
200817734,12/20/2020 0:00,12/20/2020 0:00,44185,12,20,2020,52,1,December,Sunday,1050,8,West LA,854,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1402 0329 1822,0,X,X,252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,740,998,,,11100    SANTA MONICA                 BL,,34.0474,-118.445
200817902,12/25/2020 0:00,12/19/2020 0:00,44184,12,19,2020,51,7,December,Saturday,1200,8,West LA,832,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,38,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,745,,,,800 S  WESTGATE                     AV,,34.0521,-118.4699
200810467,6/10/2020 0:00,6/10/2020 0:00,43992,6,10,2020,24,4,June,Wednesday,420,8,West LA,802,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0352 1606 1822 1420 1309,27,M,W,101,STREET,,,IC,Invest Cont,331,,,,1100    KAGAWA                       ST,,34.0497,-118.5185
200814785,10/2/2020 0:00,10/2/2020 0:00,44106,10,2,2020,40,6,October,Friday,1045,8,West LA,855,1,210,ROBBERY,1402 0325 0344 0416 1822,0,X,X,301,GAS STATION,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210,998,,,10900    SANTA MONICA                 BL,,34.0503,-118.4352
